quarter,state,code,unemployment,frustration,calls
2020-Q4,Illinois,IL,7.9,6.0144927536231885,114.0
2020-Q4,Indiana,IN,5.1,5.969230769230769,60.666666666666664
2020-Q4,Iowa,IA,4.1,4.161290322580645,25.333333333333332
2020-Q4,Kansas,KS,4.2,4.3478260869565215,22.666666666666668
2020-Q4,Kentucky,KY,5.4,5.933333333333334,43.333333333333336
2020-Q4,Louisiana,LA,7.5,6.146341463414634,43.333333333333336
2020-Q4,Maine,ME,5.2,6.217391304347826,16.333333333333332
2020-Q4,Maryland,MD,6.7,6.2,56.333333333333336
2020-Q4,Massachusetts,MA,8.1,6.2105263157894735,65.66666666666667
2020-Q4,Michigan,MI,8.3,6.033333333333333,93.33333333333333
2020-Q4,Minnesota,MN,4.9,4.196428571428571,55.333333333333336
2020-Q4,Mississippi,MS,6.5,6.136363636363637,27.666666666666668
2020-Q4,Missouri,MO,4.6,4.204545454545454,52.0
2020-Q4,Montana,MT,4.6,4.25,9.666666666666666
2020-Q4,Nebraska,NE,3.2,4.066666666666666,17.333333333333332
2020-Q4,Nevada,NV,11.6,4.261904761904762,34.0
2020-Q4,New Hampshire,NH,4.2,4.142857142857143,15.0
2020-Q4,New Jersey,NJ,9.6,5.989010989010989,90.0
2020-Q4,New Mexico,NM,8.3,6.266666666666667,17.0
2020-Q4,New York,NY,8.5,5.9609756097560975,189.66666666666666
2020-Q4,North Carolina,NC,6.4,5.900826446280992,95.0
2020-Q4,North Dakota,ND,4.8,4.5,7.333333333333333
2020-Q4,Ohio,OH,5.3,6.0285714285714285,109.0
2020-Q4,Oklahoma,OK,4.9,4.257142857142857,36.666666666666664
2020-Q4,Oregon,OR,6.5,6.128205128205129,32.333333333333336
2020-Q4,Pennsylvania,PA,6.9,6.009615384615385,113.33333333333333
2020-Q4,Rhode Island,RI,7.8,6.230769230769231,12.666666666666666
2020-Q4,South Carolina,SC,5.9,6.016949152542373,53.0
2020-Q4,South Dakota,SD,3.5,4.333333333333333,7.0
2020-Q4,Tennessee,TN,7.4,5.986486486486487,71.66666666666667
2020-Q4,Texas,TX,6.9,6.0198675496688745,279.0
2020-Q4,Utah,UT,3.4,4.260869565217392,27.666666666666668
2020-Q4,Vermont,VT,3.3,5.0,4.0
2020-Q4,Virginia,VA,5.7,6.0,83.0
2020-Q4,Washington,WA,6.6,5.9875,73.0
2020-Q4,West Virginia,WV,7.2,6.285714285714286,11.0
2020-Q4,Wisconsin,WI,4.3,4.283018867924528,54.333333333333336
2020-Q4,Wyoming,WY,5.3,5.636363636363637,6.333333333333333
2021-Q1,Alabama,AL,4.0,4.481481481481482,25.666666666666668
2021-Q1,Alaska,AK,7.4,7.0,2.3333333333333335
2021-Q1,Arizona,AZ,7.1,6.1395348837209305,36.333333333333336
2021-Q1,Arkansas,AR,5.3,6.454545454545454,15.666666666666666
2021-Q1,California,CA,9.2,5.897777777777778,204.33333333333334
2021-Q1,Colorado,CO,6.9,6.148148148148148,26.0
2021-Q1,Connecticut,CT,8.5,6.444444444444445,20.333333333333332
2021-Q1,Delaware,DE,6.6,6.0,7.333333333333333
2021-Q1,District of Columbia,DC,7.9,7.0,2.0
2021-Q1,Florida,FL,5.3,6.0625,118.66666666666667
2021-Q1,Georgia,GA,5.0,4.046511627906977,46.333333333333336
2021-Q1,Hawaii,HI,9.9,4.833333333333333,10.333333333333334
